Sup nerds
11 0 
12 0 
13 0 
14 0 
15 0 
16 0 
17 1 
18 0 
21 0 
22 0 
23 0 
24 -1 
25 0 
26 0 
27 0 
28 0 
31 -1 
32 -1 
33 -1 
34 -1 
35 -1 
36 -1 
37 -1 
38 0 
41 -1 
42 -1 
43 0 
44 0 
45 -1 
46 0 
47 0 
48 0 
51 -1 
52 -1 
53 -1 
54 -1 
55 -1 
56 -1 
57 -2 
58 0 
61 0 
62 -1 
63 -1 
64 -1 
65 -1 
66 0 
67 0 
68 0 
71 -1 
72 -1 
73 -1 
74 0 
75 -1 
76 0 
77 0 
78 0 
81 -1 
82 -1 
83 -1 
84 -1 
85 -1 
86 0 
87 0 
88 0 
91 -2 
92 -1 
93 -1 
94 -1 
95 -1 
96 -1 
97 -1 
98 0 
101 -1 
102 -1 
103 -1 
104 0 
105 -1 
106 0 
107 0 
108 0 
111 -2 
112 -2 
113 -2 
114 -2 
115 -2 
116 -3 
117 -3 
118 0 
121 -1 
122 -1 
123 0 
124 -1 
125 0 
126 -1 
127 -1 
128 0 
131 -2 
132 -2 
133 -2 
134 -2 
135 -3 
136 -3 
137 -3 
138 0 
141 -1 
142 0 
143 -1 
144 -1 
145 -1 
146 -1 
147 0 
148 0 
151 -2 
152 -2 
153 -2 
154 -1 
155 -2 
156 -2 
157 -1 
158 0 
161 -1 
162 -1 
163 -1 
164 -1 
165 -1 
166 -1 
167 -1 
168 0 
171 -2 
172 -2 
173 -2 
174 -2 
175 -3 
176 -2 
177 -3 
178 0 
181 -1 
182 -1 
183 -1 
184 -2 
185 -1 
186 -1 
187 -2 
188 0 
191 -5 
192 -4 
193 -5 
194 -5 
195 -5 
196 -5 
197 -6 
198 0 
201 0 
202 -1 
203 0 
204 -1 
205 0 
206 -1 
207 0 
208 0 
211 -4 
212 -5 
213 -4 
214 -5 
215 -5 
216 -5 
217 -5 
218 0 
221 0 
222 -1 
223 -1 
224 -2 
225 -1 
226 -1 
227 -2 
228 0 
231 -1 
232 -2 
233 -2 
234 -1 
235 -2 
236 -2 
237 -3 
238 0 
241 0 
242 0 
243 0 
244 0 
245 -1 
246 0 
247 -1 
248 0 
251 0 
252 0 
253 1 
254 1 
255 1 
256 1 
257 2 
258 0 
261 0 
262 -1 
263 -1 
264 -1 
265 -1 
266 -1 
267 -1 
268 0 
271 -1 
272 -1 
273 -1 
274 -2 
275 -1 
276 -1 
277 -2 
278 0 
281 0 
282 -1 
283 -1 
284 0 
285 0 
286 0 
287 0 
288 0 
291 -1 
292 -1 
293 -2 
294 -1 
295 -1 
296 -1 
297 -1 
298 0 
301 0 
302 0 
303 -1 
304 0 
305 -1 
306 0 
307 0 
308 0 
311 -1 
312 -2 
313 -2 
314 -2 
315 -2 
316 -1 
317 -1 
318 0 
321 -1 
322 -1 
323 0 
324 -1 
325 0 
326 -1 
327 -1 
328 0 
331 -1 
332 -1 
333 -1 
334 0 
335 -1 
336 0 
337 0 
338 0 
341 -1 
342 -1 
343 0 
344 0 
345 -1 
346 -1 
347 0 
348 0 
351 -2 
352 -2 
353 -2 
354 -2 
355 -2 
356 -2 
357 -1 
358 0 
361 0 
362 0 
363 0 
364 0 
365 -1 
366 -1 
367 0 
368 0 
