Sup nerds
11 -1 
12 -1 
13 -1 
14 -2 
15 -2 
16 -2 
17 -2 
18 0 
21 -1 
22 -1 
23 -1 
24 -1 
25 -2 
26 -1 
27 -1 
28 0 
31 -1 
32 -1 
33 -2 
34 -1 
35 -2 
36 -2 
37 -2 
38 0 
41 -1 
42 -1 
43 -1 
44 -1 
45 -1 
46 -1 
47 -1 
48 0 
51 0 
52 0 
53 0 
54 0 
55 0 
56 0 
57 0 
58 0 
61 -1 
62 -1 
63 -1 
64 -1 
65 -1 
66 -1 
67 -1 
68 0 
71 -1 
72 -2 
73 -2 
74 -2 
75 -1 
76 -2 
77 -2 
78 0 
81 -1 
82 -1 
83 -1 
84 -1 
85 -1 
86 -1 
87 0 
88 0 
91 -1 
92 -2 
93 -2 
94 -2 
95 -2 
96 -2 
97 -2 
98 0 
101 0 
102 0 
103 0 
104 0 
105 0 
106 0 
107 0 
108 0 
111 -1 
112 -1 
113 -1 
114 -1 
115 -1 
116 -1 
117 -1 
118 0 
121 0 
122 -1 
123 -1 
124 0 
125 -1 
126 -1 
127 -1 
128 0 
131 -1 
132 -2 
133 -1 
134 -1 
135 -1 
136 -1 
137 0 
138 0 
141 0 
142 0 
143 0 
144 0 
145 -1 
146 0 
147 0 
148 0 
151 -1 
152 0 
153 -1 
154 -1 
155 -1 
156 -1 
157 -1 
158 0 
161 0 
162 -1 
163 0 
164 0 
165 -1 
166 0 
167 0 
168 0 
171 -1 
172 0 
173 -1 
174 0 
175 0 
176 0 
177 0 
178 0 
181 0 
182 0 
183 0 
184 -1 
185 0 
186 0 
187 0 
188 0 
191 0 
192 0 
193 0 
194 0 
195 0 
196 0 
197 0 
198 0 
201 0 
202 0 
203 0 
204 0 
205 0 
206 0 
207 1 
208 0 
211 -1 
212 0 
213 -1 
214 -1 
215 0 
216 0 
217 -1 
218 0 
221 0 
222 0 
223 0 
224 0 
225 0 
226 0 
227 0 
228 0 
231 0 
232 0 
233 1 
234 1 
235 0 
236 0 
237 0 
238 0 
241 0 
242 0 
243 0 
244 0 
245 0 
246 0 
247 0 
248 0 
251 -1 
252 -1 
253 0 
254 -1 
255 -1 
256 -1 
257 0 
258 0 
261 0 
262 -1 
263 -1 
264 -1 
265 -1 
266 0 
267 0 
268 0 
271 -1 
272 0 
273 0 
274 -1 
275 -1 
276 -1 
277 0 
278 0 
281 1 
282 1 
283 1 
284 2 
285 1 
286 1 
287 2 
288 0 
291 -1 
292 -2 
293 -2 
294 -2 
295 -2 
296 -2 
297 -2 
298 0 
301 -1 
302 0 
303 0 
304 -1 
305 0 
306 0 
307 -1 
308 0 
311 0 
312 0 
313 0 
314 0 
315 0 
316 -1 
317 -1 
318 0 
321 -1 
322 0 
323 -1 
324 -1 
325 0 
326 0 
327 -1 
328 0 
331 -1 
332 -1 
333 -1 
334 -1 
335 -1 
336 -1 
337 -1 
338 0 
341 0 
342 0 
343 0 
344 -1 
345 0 
346 -2 
347 0 
348 0 
351 0 
352 -1 
353 -1 
354 -1 
355 -2 
356 -1 
357 -2 
358 0 
361 0 
362 0 
363 -1 
364 0 
365 -1 
366 -1 
367 -1 
368 0 
